,numero_de_cliente
824126,11038328
824213,11038988
824640,11042025
824790,11043171
825262,11046733
826336,11054370
826878,11058067
828143,11065885
828169,11066260
828659,11069521
829473,11074402
829794,11076374
831039,11083120
831879,11087125
832086,11087831
832478,11090139
832970,11093172
834007,11099358
834215,11100369
834387,11101199
834478,11102098
834714,11103862
836098,11111858
836274,11112591
836290,11112680
836418,11113185
836498,11113602
836805,11115369
837141,11118549
837330,11119441
837488,11120571
837744,11122539
838624,11128760
838656,11128995
839749,11136621
841551,11148132
841722,11148985
841754,11149174
842413,11153415
842975,11156981
843926,11163476
844619,11167566
844699,11168450
844791,11169276
844960,11170283
845788,11174956
845836,11175350
845889,11175616
846213,11177202
847298,11183948
847947,11187618
849007,11194726
849053,11195351
849089,11196053
849663,11202046
850108,11206118
850593,11210887
850737,11212030
850866,11213234
851303,11217285
851319,11217332
851529,11219597
852069,11223626
852620,11228832
854016,11242963
854038,11244464
854311,11247332
856374,11264535
856479,11265102
856979,11270281
857027,11270331
857413,11274769
857550,11275441
858149,11280963
859121,11290282
859265,11291641
859309,11292563
859336,11292671
860015,11300196
860102,11300821
860216,11302087
860676,11305471
860788,11306124
861147,11337401
861398,11427620
862425,11722529
862929,11925435
863884,12282447
863959,12316244
865504,12758481
865917,12883860
867696,13555612
867846,13611228
868267,13785330
870416,14575102
870484,14628518
870504,14634210
870653,14686291
870911,14746306
870927,14767029
871577,15013577
871860,15115231
872059,15173208
872277,15214843
873518,15240409
874544,15249234
874640,15249906
875307,15254865
875343,15254946
876544,15266936
876624,15267391
876916,15270675
877101,15271852
877317,15273056
877444,15273963
878452,15283325
878628,15284536
878762,15285957
879705,15296357
879932,15298236
880690,15305919
881304,15313737
882097,15320093
882226,15321158
882242,15321282
882270,15321378
883534,15334009
883875,15337165
884099,15338667
884628,15342591
885417,15348908
885529,15349885
885776,15351972
886198,15355469
886490,15358525
887207,15364047
887378,15366000
887430,15366996
887494,15367227
887659,15369940
887943,15372541
888667,15378634
888839,15379977
888947,15380656
889673,15385623
889781,15386549
889837,15387116
890184,15390277
890526,15392523
890991,15395629
891266,15397937
891522,15399778
891634,15400908
891819,15402749
892317,15407040
892333,15407079
892921,15411895
893320,15414268
893352,15414704
893561,15416179
894160,15421693
894300,15423021
894496,15424564
895865,15439360
896190,15442261
896206,15442389
896439,15443512
897856,15454587
897906,15454969
898631,15460214
898791,15460943
898919,15461981
899031,15463293
899088,15463621
899519,15468040
899723,15470143
899835,15470668
901676,15485177
901728,15485903
902575,15493119
903236,15499838
903340,15500401
903600,15502061
905319,15517095
905751,15520507
906269,15523987
906577,15525384
906673,15526511
907071,15529101
907192,15530065
907838,15535217
907922,15536379
908319,15540002
908415,15540732
908701,15543020
909983,15550730
911067,15558448
911522,15562164
911554,15562226
912808,15575046
913175,15577296
913594,15580626
914363,15587684
914555,15589255
914667,15589899
914958,15592975
915322,15596286
916203,15603792
916366,15605096
916574,15606273
916628,15606705
916678,15606817
917160,15634513
918336,15647483
918464,15649085
918692,15651381
918962,15654298
919588,15661163
919850,15663969
920048,15665211
920068,15665539
920645,15671721
921061,15677695
921646,15682978
921851,15685240
922057,15687983
922790,15694092
923029,15695543
923492,15699765
923540,15700741
924287,15708085
924622,15713144
924801,15715826
926282,15731428
926436,15733269
926452,15733273
926468,15733442
926843,15737448
927417,15744510
927545,15746339
928458,15755693
928684,15757820
928874,15759846
929027,15763307
929398,15767104
929947,15773669
930151,15776212
930305,15777570
930369,15777863
931214,15789517
932164,15798721
932228,15799817
932851,15805594
933067,15807392
933408,15810476
934092,15817063
935192,15939621
935928,15946961
936632,15954324
936977,15958480
937092,15961015
937479,15967020
937551,15967321
938781,15981676
939152,15984902
939272,15985655
940135,15992775
940271,15993713
940287,15993732
941604,16009091
942174,16013320
942302,16014601
942389,16015886
942463,16017542
942734,16020043
942811,16020683
942995,16023334
943592,16029007
943656,16029347
944101,16033159
944672,16037794
944782,16040792
945807,16053369
945912,16055368
946448,16062086
946584,16064379
946901,16067647
946994,16068500
947487,16076477
947615,16077889
947945,16082493
947977,16082879
949272,16097280
949288,16097435
950512,16118270
951649,16131425
952233,16139324
952378,16141593
952394,16142145
952583,16143932
952842,16146355
953120,16149678
953404,16153352
953812,16158179
954504,16170555
954760,16174514
954995,16177741
955500,16183556
955944,16188488
956394,16193898
957029,16201419
957093,16202210
957237,16205348
957587,16211480
958744,16227904
958818,16229088
958928,16231273
959040,16232766
959278,16235614
959996,16246342
960060,16246986
960182,16248843
960314,16250872
960490,16253265
961583,16267161
962090,16274725
962147,16275763
962419,16279726
962969,16287656
964495,16309244
965279,16320612
965398,16321674
965585,16323024
965947,16327863
966208,16330607
966240,16331688
966516,16336010
967322,16347459
968117,16357767
968358,16362004
968863,16368310
969326,16374951
969406,16376460
969409,16376545
969569,16379342
969984,16387743
970507,16394292
970543,16394674
971891,16414946
972727,16426384
973916,16446516
974356,16452085
974396,16452532
975350,16464997
975607,16470693
976465,16480688
976638,16483852
977576,16504409
977656,16505825
978155,16510888
978351,16512559
978975,16517834
979155,16519644
980016,16526679
980272,16529940
981757,16541837
982096,16544392
983731,16557837
985080,16568032
985404,16570583
985860,16574851
986011,16576510
986617,16580825
986729,16581882
987106,16585116
988209,16595663
988412,16596689
988739,16598333
989032,16602180
989322,16604403
990077,16611041
990363,16615019
990917,16621896
991167,16624995
991483,16627986
992813,16634874
993386,16639099
993948,16644494
994191,16646320
994587,16648558
994748,16650372
995260,16655319
996159,16661586
996339,16661775
996904,16662975
997304,16663581
998190,16665155
998469,16665676
999095,16669474
